title,price,location,date_posted,link,category_id
Car seat cover vsp,"₹ 4,200","SEETAMMA PETA, VISAKHAPATNAM",APR 17,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-seetamma-peta-visakhapatnam-iid-1804345294,1585
Car Cover for sale,"₹ 2,000","KENCHANAPURA CROSS, BENGALURU",TODAY,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-kenchanapura-cross-bengaluru-iid-1806385301,1585
All cars side mirror cover abs plastic piano black batman style,"₹ 2,500","DWARKA SECTOR 98, DELHI",TODAY,https://www.olx.in/item/spare-parts-c1585-all-cars-side-mirror-cover-abs-plastic-piano-black-batman-style-in-dwarka-sector-98-delhi-iid-1800587295,1585
Maruthi Suzuki 800 car protection cover,"₹ 1,200","HASANABAD, HYDERABAD",TODAY,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-hasanabad-hyderabad-iid-1806373852,1585
Car covers for Taigun Suv and i10,"₹ 1,500","JAYANAGAR, BENGALURU",TODAY,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-jayanagar-bengaluru-iid-1806346825,1585
Car seat cover koc,"₹ 13,000","THYKOODAM, KOCHI",TODAY,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-thykoodam-kochi-iid-1806338066,1585
Car Seat Covers del,"₹ 3,800","TEEN MURTI MARG AREA, DELHI",APR 22,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-teen-murti-marg-area-delhi-iid-1804756254,1585
Swift Car Cover for sale,"₹ 1,100","PATRAN 176, PATRAN",YESTERDAY,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-patran-176-patran-iid-1806309597,1585
Recaro Santro Car Cover,₹ 800,"YOGI NAGAR TOWNSHIP, VADODARA",YESTERDAY,https://www.olx.in/item/spare-parts-c1587-recaro-santro-car-cover-in-yogi-nagar-township-vadodara-iid-1806305191,1587
Dash cam & Nexon reserve camera car cover,"₹ 10,000","SATHAGALLI LAYOUT, MYSURU",YESTERDAY,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-sathagalli-layout-mysuru-iid-1803781287,1585
Stylish Car cover,"₹ 1,500","PALDI MEENA, JAIPUR",YESTERDAY,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-paldi-meena-jaipur-iid-1803022931,1585
baleno orvm brand new and alto car cover original and gear nob baleno,"₹ 4,500","KHADARWALA, MUZAFFARNAGAR",YESTERDAY,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-khadarwala-muzaffarnagar-iid-1789277444,1585
Car cover of kia seltos,"₹ 1,000","BHUMKAR CHOWK ROAD, PUNE",YESTERDAY,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-bhumkar-chowk-road-pune-iid-1806267899,1585
Alto 800/K10 similar car body cover,₹ 500,"MAHADEB NAGAR JHARAPADA, BHUBANESHWAR",YESTERDAY,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-mahadeb-nagar-jharapada-bhubaneshwar-iid-1806261927,1585
All types of car seats covers available,"₹ 2,600","SHIVPURI, LUDHIANA",YESTERDAY,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-shivpuri-ludhiana-iid-1806257352,1585
All Maruthi Seat cover car stereo,"₹ 1,000","PANAMARAM, WAYANAD",YESTERDAY,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-panamaram-wayanad-iid-1796086514,1585
Seat cover for all cars and traveller,"₹ 6,000","GANDHIPURAM, COIMBATORE",YESTERDAY,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-gandhipuram-coimbatore-iid-1803486034,1585
Maruti Swift Car Cover,₹ 849,"20 DUKAN, JAIPUR",YESTERDAY,https://www.olx.in/item/spare-parts-c1585-maruti-swift-car-cover-in-20-dukan-jaipur-iid-1806238897,1585
Brembo caliper covers for all cars,₹ 700,"GACHIBOWLI, HYDERABAD",YESTERDAY,https://www.olx.in/item/spare-parts-c1585-brembo-caliper-covers-for-all-cars-in-gachibowli-hyderabad-iid-1800430070,1585
Brembo brake caliper covers all colours available for all cars,₹ 699,"BEGUMPET, HYDERABAD",2 DAYS AGO,https://www.olx.in/item/spare-parts-c1585-brembo-brake-caliper-covers-all-colours-available-for-all-cars-in-begumpet-hyderabad-iid-1805724400,1585
Car seat cover blr,"₹ 3,800","BVK IYENGAR ROAD BANGALORE, BENGALURU",2 DAYS AGO,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-bvk-iyengar-road-bangalore-bengaluru-iid-1805787530,1585
Defander car stepni cover,"₹ 15,000","ASHOK VIHAR, DELHI",2 DAYS AGO,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-ashok-vihar-delhi-iid-1669544151,1585
"Car Hand Rest , 3 Way Speakers , Stearing Cover",₹ 300,"ALANDI ROAD, PUNE",2 DAYS AGO,https://www.olx.in/item/spare-parts-c1585-car-hand-rest-3-way-speakers-stearing-cover-in-alandi-road-pune-iid-1805994797,1585
Ecco car cover,"₹ 1,500","OMEX CITY, LUCKNOW",2 DAYS AGO,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-omex-city-lucknow-iid-1805895660,1585
WAGONR CAR COVER,₹ 500,"NEW INDUSTRIAL TOWNSHIP 2, FARIDABAD",2 DAYS AGO,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-new-industrial-township-2-faridabad-iid-1806179747,1585
Tata altroz car cover,₹ 600,"GADAIPUR, DELHI",2 DAYS AGO,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-gadaipur-delhi-iid-1798464459,1585
Ecco car cover,"₹ 1,500","OMEX CITY, LUCKNOW",2 DAYS AGO,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-omex-city-lucknow-iid-1804468000,1585
Ciaz Car Accessories (Window Sun Shades+Branded Floor Matts+Body Cover,"₹ 2,500","LOHEGAON LAXMI NAGAR, PUNE",2 DAYS AGO,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-lohegaon-laxmi-nagar-pune-iid-1805855155,1585
ERTIGA CAR -15 INCH STEEL WHEEL & WHEEL COVER,"₹ 18,500","ANDHERI EAST, MUMBAI",2 DAYS AGO,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-andheri-east-mumbai-iid-1804239604,1585
2024 brezza car wheel rims brand new and covers 4nos.,"₹ 4,500","KATTUPAKKAM KGT NAGAR, CHENNAI",2 DAYS AGO,https://www.olx.in/item/spare-parts-c1585-wheels-tyres-in-kattupakkam-kgt-nagar-chennai-iid-1802718025,1585
Car vaccum and car cover of Toyota Glanza,"₹ 1,000","NAWADA, DELHI",3 DAYS AGO,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-nawada-delhi-iid-1806131379,1585
Car WagonR seat cover new cover one month use,"₹ 5,000","THURAIPAKKAM SRI SAI NAGAR, CHENNAI",3 DAYS AGO,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-thuraipakkam-sri-sai-nagar-chennai-iid-1805748280,1585
Alto 800 car cover,"₹ 1,500","KOTHAGONDAPALLI, TVS PLANT HOSUR",3 DAYS AGO,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-kothagondapalli-tvs-plant-hosur-iid-1806078506,1585
Maruti Car Rim+FREE Wheel Cover,"₹ 1,500","SECTOR 120, NOIDA",3 DAYS AGO,https://www.olx.in/item/spare-parts-c1585-wheels-tyres-in-sector-120-noida-iid-1805660953,1585
Echo car cover,"₹ 1,500","KUMARSAMIPATI, SALEM",3 DAYS AGO,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-kumarsamipati-salem-iid-1806059517,1585
Body cover for 4 wheeler car,"₹ 1,200","BALLYGUNGE CIRCULAR AREA, KOLKATA",3 DAYS AGO,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-ballygunge-circular-area-kolkata-iid-1803071955,1585
Alto Car ka cover,₹ 800,"AISHBAGH, LUCKNOW",4 DAYS AGO,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-aishbagh-lucknow-iid-1806028518,1585
Cellario / Cellario X Car Body Cover,₹ 700,"SECTOR 78, GURGAON",4 DAYS AGO,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-sector-78-gurgaon-iid-1802686097,1585
Car steering cover,₹ 250,"KANDIVALI WEST, MUMBAI",4 DAYS AGO,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-kandivali-west-mumbai-iid-1805522859,1585
Car wheel cover 4 pcs,₹ 300,"TARKAPUR, MIRZAPUR CUM VINDHYACHAL",4 DAYS AGO,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-tarkapur-mirzapur-cum-vindhyachal-iid-1763478294,1585
Protection Cover from Monkey and Dog for Car,"₹ 1,500","SECTOR 47, GURGAON",4 DAYS AGO,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-sector-47-gurgaon-iid-1804804653,1585
Car universal 9d seat covers,"₹ 9,999","DWARKA SECTOR 98, DELHI",4 DAYS AGO,https://www.olx.in/item/spare-parts-c1585-car-universal-9d-seat-covers-in-dwarka-sector-98-delhi-iid-1800676552,1585
Wagon R car seat cover,"₹ 2,500","AMBARNATH, ULHASNAGAR",4 DAYS AGO,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-ambarnath-ulhasnagar-iid-1772903742,1585
CAR WOODEN BEADS- SEAT COVER,"₹ 1,000","THYCAUD, THIRUVANANTHAPURAM",4 DAYS AGO,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-thycaud-thiruvananthapuram-iid-1805978454,1585
Ford Ecosport 2013-17 model car cover with mirror and Antenna pockets,₹ 900,"RAMANKULANGARA, KOLLAM",4 DAYS AGO,https://www.olx.in/item/spare-parts-c1585-ford-ecosport-2013-17-model-car-cover-with-mirror-and-antenna-pockets-in-ramankulangara-kollam-iid-1801183922,1585
Car cover for sale,₹ 800,"VISWANATHA NAGENAHALLI, BENGALURU",4 DAYS AGO,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-viswanatha-nagenahalli-bengaluru-iid-1805972483,1585
All cars side mirror batman cover abs plastic piano black,"₹ 2,499","GANGTOK PRIVATE ESTATE, GANGTOK",5 DAYS AGO,https://www.olx.in/item/spare-parts-c1585-all-cars-side-mirror-batman-cover-abs-plastic-piano-black-in-gangtok-private-estate-gangtok-iid-1804943156,1585
All cars side mirror cover batman style abs plastic piano black,"₹ 2,500","ANNA NAGAR, MADURAI",5 DAYS AGO,https://www.olx.in/item/spare-parts-c1585-all-cars-side-mirror-cover-batman-style-abs-plastic-piano-black-in-anna-nagar-madurai-iid-1802991925,1585
Car cover creta 2018,"₹ 1,000","CHANDRAVADDO, MARGAO",5 DAYS AGO,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-chandravaddo-margao-iid-1805201803,1585
Santro Car Wheel Cover and Air Filter,"₹ 1,000","ELECTRONIC CITY, BENGALURU",5 DAYS AGO,https://www.olx.in/item/spare-parts-c1585-wheels-tyres-in-electronic-city-bengaluru-iid-1748593314,1585
Car cover of 800 I had sold the car,₹ 800,"GOLLAHALLI, BENGALURU",5 DAYS AGO,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-gollahalli-bengaluru-iid-1804345056,1585
Renault Kiger car cover waterproof,₹ 800,"KHARDAHA, KOLKATA",5 DAYS AGO,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-khardaha-kolkata-iid-1805881815,1585
Car seat cover,₹ 300,"PURVI PATEL NAGAR, DEHRADUN",5 DAYS AGO,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-purvi-patel-nagar-dehradun-iid-1805181623,1585
Car Cover for Full size sedan car,₹ 700,"AUNDH SONEWADI, PUNE",5 DAYS AGO,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-aundh-sonewadi-pune-iid-1805578967,1585
"Wholesale price Car Accessories, Car Body Cover, Rain Cover, Car Matt",₹ 59,"PUSHPANJALI, ROORKEE",5 DAYS AGO,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-pushpanjali-roorkee-iid-1798263059,1585
VW polo brand new waterproof car cover and sun blinds,"₹ 1,000","BTM LAYOUT STAGE 1, BENGALURU",6 DAYS AGO,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-btm-layout-stage-1-bengaluru-iid-1805807450,1585
Wagon r car cover,"₹ 1,000","SHREE ANANTH NAGAR LAYOUT, BENGALURU",6 DAYS AGO,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-shree-ananth-nagar-layout-bengaluru-iid-1805782092,1585
Maruti Suzuki car cover n mirror with reasonable price,"₹ 3,000","BALIA, BIHAR",6 DAYS AGO,https://www.olx.in/item/spare-parts-c1585-maruti-suzuki-car-cover-n-mirror-with-reasonable-price-in-balia-bihar-iid-1802592093,1585
Maruti Suzuki Car Body Cover - Basic,"₹ 1,299","PORUR KAVYA GARDEN, CHENNAI",6 DAYS AGO,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-porur-kavya-garden-chennai-iid-1804334057,1585
Santro car cover,"₹ 1,500","SECTOR 51, GURGAON",6 DAYS AGO,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-sector-51-gurgaon-iid-1805734846,1585
I20 car cover and sunnshade for sale in excellent condition,"₹ 2,000","KOH E FIZA, BHOPAL",6 DAYS AGO,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-koh-e-fiza-bhopal-iid-1805727458,1585
Honda City Car Cover,₹ 50,"VENNALA, KOCHI",MAY 01,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-vennala-kochi-iid-1805722511,1585
Car cover waterproof for i10 waganR,₹ 500,"KOYER BASTI, PUNE",MAY 01,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-koyer-basti-pune-iid-1805721716,1585
Grand i10 Car cover,₹ 750,"CHANDRANAGAR, PALAKKAD",MAY 01,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-chandranagar-palakkad-iid-1802070128,1585
URGENTALY SELL NEW PROTUL SOKET RINCH SET 21 PEICE & BELENO CAR COVER,"₹ 5,600","ECO GREEN CITY, BHOPAL",MAY 01,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-eco-green-city-bhopal-iid-1761197513,1585
MG hector Car cover,"₹ 1,000","TECHZONE 4, GREATER NOIDA",MAY 01,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-techzone-4-greater-noida-iid-1799554909,1585
Volkswagen car cover,₹ 700,"GAUARI VIHAR, JAIPUR",MAY 01,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-gauari-vihar-jaipur-iid-1805642459,1585
Car Cover for Sale,₹ 650,"TAMBARAM, CHENNAI",MAY 01,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-tambaram-chennai-iid-1805624278,1585
Tata NexonNeo Drift Crystal Tech Car Cover,"₹ 3,000","VIRAR EAST, MUMBAI",APR 30,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-virar-east-mumbai-iid-1802593196,1585
Wheel cover R16 fronx car,"₹ 1,500","SECTOR 64, NOIDA",APR 30,https://www.olx.in/item/spare-parts-c1585-wheels-tyres-in-sector-64-noida-iid-1805611096,1585
Car cover for big cars,₹ 700,"SATHYAMURTHI NAGAR VENKATESHWARA NAGAR, CHENNAI",APR 30,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-sathyamurthi-nagar-venkateshwara-nagar-chennai-iid-1805605773,1585
Windshield Umbrella Sunshade Cover & Mini Car Trash Can with lid,₹ 599,"KRISHNARAJAPURAM, BENGALURU",APR 30,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-krishnarajapuram-bengaluru-iid-1805549302,1585
Car seat covers,"₹ 3,000","MAVALLI, BENGALURU",APR 29,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-mavalli-bengaluru-iid-1800843034,1585
Duster Car Key Cover,₹ 100,"WAZIRABAD, DELHI",APR 29,https://www.olx.in/item/spare-parts-c1587-duster-car-key-cover-in-wazirabad-delhi-iid-1805520148,1587
Car alloy and cover,"₹ 28,000","SECTOR 87, FARIDABAD",APR 29,https://www.olx.in/item/spare-parts-c1585-wheels-tyres-in-sector-87-faridabad-iid-1805484956,1585
SWIFT DESIRE VDI CAR COVER FOR SALE,"₹ 1,200","HANSKHERA, LUCKNOW",APR 29,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-hanskhera-lucknow-iid-1805482580,1585
New creta car seat covers blr,"₹ 13,000","DODDAKAMMANAHALLI, BENGALURU",APR 29,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-doddakammanahalli-bengaluru-iid-1802138632,1585
Car seat cover I10 grand vsp,"₹ 6,500","SEETAMMA PETA, VISAKHAPATNAM",APR 29,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-seetamma-peta-visakhapatnam-iid-1801124439,1585
Car stearing covers blr,"₹ 1,300","DODDAKAMMANAHALLI, BENGALURU",APR 29,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-doddakammanahalli-bengaluru-iid-1802138150,1585
Car steering & wheel cover maruti brezza 2025,"₹ 4,000","INDIRAPURAM, GHAZIABAD",APR 28,https://www.olx.in/item/spare-parts-c1585-wheels-tyres-in-indirapuram-ghaziabad-iid-1800777449,1585
New Ertiga Car Cover + Sun Shades for Sale | Best Quality,"₹ 4,000","PENDURTHI, VISAKHAPATNAM",APR 28,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-pendurthi-visakhapatnam-iid-1805400325,1585
Car cover good condition,"₹ 1,500","BENIAPUKUR, KOLKATA",APR 28,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-beniapukur-kolkata-iid-1805377853,1585
Alto k 10 car cover,"₹ 1,000","DLS COLONY, VISAKHAPATNAM",APR 28,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-dls-colony-visakhapatnam-iid-1805363326,1585
Car body cover wagonr and swift dizre,"₹ 1,500","FACTORY AREA, KANPUR",APR 28,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-factory-area-kanpur-iid-1805355300,1585
Honda Amaze Floor Mat & Car Cover for sale slightly used,"₹ 1,300","KOVILAMBAKKAM TAMIL KUDI MAKHAN NAGAR, CHENNAI",APR 28,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-kovilambakkam-tamil-kudi-makhan-nagar-chennai-iid-1805341670,1585
Wheel cover for car,₹ 251,"DHAULI PYAU, MATHURA",APR 28,https://www.olx.in/item/spare-parts-c1585-wheels-tyres-in-dhauli-pyau-mathura-iid-1805338519,1585
Car cover bolero and thar,"₹ 1,300","CLEVELAND TOWN, BENGALURU",APR 27,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-cleveland-town-bengaluru-iid-1805313508,1585
